Date;Price;Open;High;Low;Vol.;Change %
05/31/2018;80267;79962;80826;79962;39.25M;0.38
05/30/2018;79961;79534;80195;79114;42.85M;0.45
05/29/2018;79603;79705;79789;78640;34.91M;-0.15
05/28/2018;79721;79098;80422;79040;24.13M;0.4
05/25/2018;79401;80401;80616;79314;44.14M;-1.24
05/24/2018;80401;81046;81349;80302;43.51M;-0.78
05/23/2018;81037;81921;81921;80804;43.66M;-1.08
05/22/2018;81925;82395;82694;81719;49.29M;-0.53
05/18/2018;82363;81697;82510;81697;57.79M;0.83
05/16/2018;81684;81231;81806;81017;48.92M;0.54
05/15/2018;81246;80753;81417;80632;46.02M;0.65
05/14/2018;80725;81033;81125;80464;36.69M;-0.38
05/11/2018;81035;81150;81625;80939;41.23M;-0.13
05/09/2018;81143;80729;81506;80674;50.81M;0.51
05/08/2018;80731;80508;80731;80100;53.61M;0.24
05/07/2018;80536;79672;80536;79619;34.09M;1.1
05/04/2018;79663;79714;79977;79482;43.57M;-0.04
05/03/2018;79691;80261;80403;79688;40.92M;-0.71
05/02/2018;80257;79393;80257;79316;52.20M;1.08
04/30/2018;79399;79706;79714;79053;47.85M;-0.39
04/27/2018;79706;79771;80379;79608;42.09M;-0.09
04/26/2018;79780;77424;79929;77415;71.66M;3.04
04/25/2018;77428;78410;78410;77303;63.27M;-1.25
04/24/2018;78412;78301;78880;78156;55.08M;0.14
04/23/2018;78300;77830;78779;77825;51.28M;0.61
04/20/2018;77822;78318;78401;77754;44.96M;-0.63
04/19/2018;78317;78174;78930;78173;55.93M;0.18
04/18/2018;78174;77079;78425;77020;69.39M;1.42
04/17/2018;77076;77102;77165;76740;41.97M;0
04/16/2018;77074;77270;77333;76666;45.49M;-0.26
04/13/2018;77274;76917;77438;76900;56.42M;0.5
04/12/2018;76886;76623;76950;76342;58.05M;0.34
04/11/2018;76623;76434;76661;76026;64.26M;0.24
04/10/2018;76443;74879;76443;74874;65.99M;2.11
04/09/2018;74866;74690;75009;74475;53.75M;0.25
04/06/2018;74682;75089;75092;74338;51.04M;-0.54
04/05/2018;75089;73428;75089;73428;49.49M;2.27
04/04/2018;73421;74379;74733;72913;62.35M;-1.29
04/03/2018;74380;73565;74751;72927;80.79M;1.04
03/28/2018;73613;73751;73753;72828;36.02M;-0.2
03/27/2018;73757;73084;73927;73084;45.90M;0.95
03/26/2018;73063;73187;73478;72947;40.33M;-0.19
03/23/2018;73201;72616;73316;71592;59.03M;0.76
03/22/2018;72646;73672;73672;72588;57.60M;-1.39
03/21/2018;73672;73326;73676;72876;48.57M;0.48
03/20/2018;73322;72911;73398;72848;42.92M;0.57
03/19/2018;72910;73796;73827;72901;41.58M;-1.2
03/16/2018;73795;73753;73878;73440;58.21M;0.06
03/15/2018;73751;74160;74563;73596;42.50M;-0.55
03/14/2018;74160;74777;75020;74160;44.43M;-0.83
03/13/2018;74777;74885;75289;74775;43.75M;-0.12
