"","PD38026MD"
"","Indicadores bursátiles - Índice General Bursátil BVL (índice)"
21Mar08,17277.42
24Mar08,16996.81
25Mar08,16986.93
26Mar08,16945.67
27Mar08,17431.85
28Mar08,17404.61
31Mar08,17387.47
01Abr08,17394.46
02Abr08,17614.66
03Abr08,17885.91
04Abr08,18094.55
07Abr08,18309.76
08Abr08,18065.51
09Abr08,18034.44
10Abr08,17792.45
11Abr08,17666.19
14Abr08,17515.98
15Abr08,17582.43
16Abr08,17628.45
17Abr08,17538.77
18Abr08,17470.28
21Abr08,17474.79
22Abr08,17566.14
23Abr08,17629.5
24Abr08,17567.63
25Abr08,17420.51
28Abr08,17355.82
29Abr08,17446.46
30Abr08,17429.94
01May08,17429.94
02May08,17431.76
05May08,17402.38
06May08,17418.02
07May08,17365.35
08May08,17377.64
09May08,17329.7
12May08,17420.27
13May08,17525
14May08,17724.27
15May08,17724.27
16May08,17724.27
19May08,17815.34
20May08,17776.6
21May08,17722.97
22May08,17371.47
23May08,17152.04
26May08,17246.3
27May08,17084.28
28May08,17099.33
29May08,16911.5
30May08,17130.79
02Jun08,17259.14
03Jun08,17267.97
04Jun08,17119.53
05Jun08,16985.39
06Jun08,16981
09Jun08,16900.66
10Jun08,16735.71
11Jun08,16650.27
12Jun08,16423.56
13Jun08,16491.54
16Jun08,16602.47
17Jun08,16694.68
18Jun08,16826.12
19Jun08,16728.09
20Jun08,16802.38
23Jun08,16722.96
24Jun08,16558.18
25Jun08,16579.44
26Jun08,16393.48
27Jun08,16336.67
30Jun08,16293.97
01Jul08,16170.25
02Jul08,15722.15
03Jul08,15135.61
04Jul08,15040.75
07Jul08,14955.58
08Jul08,14434.17
09Jul08,14594.04
10Jul08,14825.4
11Jul08,14712.23
14Jul08,15006.05
15Jul08,14610.54
16Jul08,14321.11
17Jul08,14198
18Jul08,13914.08
21Jul08,13789.97
22Jul08,13556.91
23Jul08,13479.92
24Jul08,13274.93
25Jul08,13351.49
28Jul08,13351.49
29Jul08,13351.49
30Jul08,13392.11
31Jul08,13765.45
01Ago08,13818.87
04Ago08,13482.62
05Ago08,13266.27
06Ago08,13317.9
07Ago08,13242.19
08Ago08,12715.52
11Ago08,12324.68
12Ago08,11897.94
13Ago08,12096.13
14Ago08,11899.64
15Ago08,11716.15
18Ago08,11829.64
19Ago08,12020.91
20Ago08,12278.04
21Ago08,12653.71
22Ago08,12500.39
25Ago08,12652.04
26Ago08,12912.69
27Ago08,13376.43
28Ago08,13268.28
29Ago08,13287.42
01Set08,13305.13
02Set08,13301.74
03Set08,13234.77
04Set08,12952.25
05Set08,12653.84
08Set08,12477.28
09Set08,12144.39
10Set08,12078.5
11Set08,12062.24
12Set08,12291.6
15Set08,11994.39
16Set08,11593
17Set08,11177.07
18Set08,10884.43
19Set08,11841.43
22Set08,11844.44
23Set08,11641.46
24Set08,11580.48
25Set08,11764.88
26Set08,11691.58
29Set08,11118.83
30Set08,11248.42
01Oct08,11286.37
02Oct08,10787.5
03Oct08,10777.9
06Oct08,9778.59
07Oct08,9371.36
08Oct08,9371.36
09Oct08,8549.43
10Oct08,7625.18
13Oct08,8667.77
14Oct08,9141.01
15Oct08,8358.41
16Oct08,7759.39
17Oct08,7906.32
20Oct08,8149.27
21Oct08,7889.11
22Oct08,7147.19
23Oct08,6833.65
24Oct08,6378.66
27Oct08,6038.66
28Oct08,6054
29Oct08,6528.47
30Oct08,6800.75
31Oct08,7055.04
03Nov08,7797.86
04Nov08,8475.09
05Nov08,8205.74
06Nov08,7654.26
07Nov08,8064.35
10Nov08,8296.58
11Nov08,7988.63
12Nov08,7716.32
13Nov08,7743.13
14Nov08,7582.46
17Nov08,7437.65
18Nov08,7348.19
19Nov08,7193.93
20Nov08,7193.93
21Nov08,7193.93
24Nov08,7382.01
25Nov08,7193.27
26Nov08,7391.35
27Nov08,7410.02
28Nov08,7405.5
01Dic08,7135.23
02Dic08,7112.61
03Dic08,7030.52
04Dic08,6968.86
05Dic08,6780.06
08Dic08,6780.06
09Dic08,7122.21
10Dic08,7246.77
11Dic08,7264.38
12Dic08,7168.01
15Dic08,7092.04
16Dic08,7265.14
17Dic08,7228.5
18Dic08,7016.66
19Dic08,6981.51
22Dic08,6896.61
23Dic08,6945.96
24Dic08,6998.87
25Dic08,6998.87
26Dic08,6998.87
29Dic08,7016.4
30Dic08,7018.47
31Dic08,7048.67
01Ene09,7048.67
02Ene09,7048.67
05Ene09,7330.25
06Ene09,7437.71
07Ene09,7248.34
08Ene09,7208.98
09Ene09,7185.47
12Ene09,7045.58
13Ene09,7060.68
14Ene09,6929.44
15Ene09,6928.42
16Ene09,7015.41
19Ene09,7086.4
20Ene09,6992.28
21Ene09,6964.91
22Ene09,6880.82
23Ene09,6988.16
26Ene09,6981.25
27Ene09,6900.67
28Ene09,6983.32
29Ene09,6968.8
30Ene09,6905.39
02Feb09,6811.2
03Feb09,6767.81
04Feb09,6887.08
05Feb09,6871.27
06Feb09,6979.73
09Feb09,6991.41
10Feb09,6872.88
11Feb09,6898.85
12Feb09,6859.26
13Feb09,6898.29
16Feb09,6903.16
17Feb09,6776.98
18Feb09,6747.79
19Feb09,6686.29
20Feb09,6640.04
23Feb09,6560.8
24Feb09,6489.53
25Feb09,6528.94
26Feb09,6716.34
27Feb09,6671.72
02Mar09,6518.31
03Mar09,6607.7
04Mar09,6825.3
05Mar09,6729.45
06Mar09,6781.81
09Mar09,6892.9
10Mar09,7138.45
11Mar09,7094.88
12Mar09,7003.25
13Mar09,7152.28
16Mar09,7423.1
17Mar09,7311.83
18Mar09,7488.83
19Mar09,7762.52
20Mar09,7697.56
23Mar09,8157.76
24Mar09,8349.34
25Mar09,8713.55
26Mar09,9219.88
27Mar09,9337.19
30Mar09,8887.29
31Mar09,9237.65
01Abr09,9409.78
02Abr09,9780.53
03Abr09,10163.44
06Abr09,10342.78
07Abr09,9988.02
08Abr09,10001.92
09Abr09,10001.92
10Abr09,10001.92
13Abr09,10579.77
14Abr09,10364.04
15Abr09,10313.84
16Abr09,10146.84
17Abr09,10270.01
20Abr09,9945.97
21Abr09,9974.09
22Abr09,10007.94
23Abr09,9841.09
24Abr09,10036.76
27Abr09,10104.26
28Abr09,9901.64
29Abr09,10107.69
30Abr09,9979.19
01May09,9979.19
04May09,10218.93
05May09,10479.67
06May09,10869.72
07May09,10824.43
08May09,11475.59
11May09,11464.59
12May09,11897.42
13May09,11757.24
14May09,11950.36
15May09,11938.79
18May09,11903.88
19May09,12192.51
20May09,12369.26
21May09,12233.61
22May09,12476.73
25May09,12441.06
26May09,12871.97
27May09,12795.98
28May09,12951.99
29May09,13392.27
01Jun09,14004.63
02Jun09,14259.65
03Jun09,13789.53
04Jun09,14270.1
05Jun09,14090.46
08Jun09,14004.6
09Jun09,14200.84
10Jun09,14100.8
11Jun09,13944.35
12Jun09,13840.89
15Jun09,13489.22
16Jun09,13236.38
17Jun09,12916.48
18Jun09,13092.7
19Jun09,13136.99
22Jun09,12438.29
23Jun09,12618.85
24Jun09,12993.71
25Jun09,13300.68
26Jun09,13189.63
29Jun09,13189.63
30Jun09,13059.7
01Jul09,13242.23
02Jul09,13061.52
03Jul09,12897.86
06Jul09,12694.95
07Jul09,12574.79
08Jul09,12322.11
09Jul09,12689.35
10Jul09,12596.54
13Jul09,12748.32
14Jul09,12863.13
15Jul09,13115.49
16Jul09,13071.3
17Jul09,13070.17
20Jul09,13290.17
21Jul09,13328.38
22Jul09,13339.94
23Jul09,13761.62
24Jul09,13839.34
27Jul09,13839.34
28Jul09,13839.34
29Jul09,13839.34
30Jul09,13894.23
31Jul09,14092.02
03Ago09,14616.87
04Ago09,14665.09
05Ago09,14479.7
06Ago09,13864.82
07Ago09,13887
10Ago09,13834.68
11Ago09,13831.86
12Ago09,14075.18
13Ago09,14329.54
14Ago09,14227.42
17Ago09,13972.5
18Ago09,14060.64
19Ago09,14157.47
20Ago09,14264.2
21Ago09,14362.13
24Ago09,14274.9
25Ago09,14218.42
26Ago09,14076.03
27Ago09,14238.71
28Ago09,14151.85
31Ago09,13955.38
01Set09,13748.92
02Set09,13764.79
03Set09,14085.92
04Set09,14164.36
07Set09,14146.35
08Set09,14330.19
09Set09,14253.48
10Set09,14413.43
11Set09,14513.12
14Set09,14649.71
15Set09,14556.21
16Set09,14896.29
17Set09,14965.5
18Set09,15147.84
21Set09,15154
22Set09,15468.26
23Set09,15432.35
24Set09,15084.5
25Set09,15105.61
28Set09,15035.01
29Set09,15032.36
30Set09,15144.2
01Oct09,14826.94
02Oct09,14676.85
05Oct09,14853.97
06Oct09,15143.78
07Oct09,15101.39
08Oct09,15101.39
09Oct09,15461.87
12Oct09,15590.64
13Oct09,15435.83
14Oct09,15479.78
15Oct09,15459.48
16Oct09,15438.39
19Oct09,15349.45
20Oct09,15168.73
21Oct09,15348.85
22Oct09,15499.77
23Oct09,15461.14
26Oct09,15278.66
27Oct09,15006.11
28Oct09,14429.43
29Oct09,14768.49
30Oct09,14213.54
02Nov09,14232.6
03Nov09,14313.55
04Nov09,14495.62
